article,year,month,views,buzzword
Artificial_intelligence,2021,11,355754,Artificial intelligence
Artificial_intelligence,2021,12,362188,Artificial intelligence
Artificial_intelligence,2022,1,408061,Artificial intelligence
Artificial_intelligence,2022,2,448139,Artificial intelligence
Artificial_intelligence,2022,3,544044,Artificial intelligence
Artificial_intelligence,2022,4,505964,Artificial intelligence
Artificial_intelligence,2022,5,497873,Artificial intelligence
Artificial_intelligence,2022,6,484440,Artificial intelligence
Artificial_intelligence,2022,7,514369,Artificial intelligence
Artificial_intelligence,2022,8,573048,Artificial intelligence
Artificial_intelligence,2022,9,668291,Artificial intelligence
Artificial_intelligence,2022,10,653348,Artificial intelligence
Artificial_intelligence,2022,11,633033,Artificial intelligence
Artificial_intelligence,2022,12,558395,Artificial intelligence
Artificial_intelligence,2023,1,481034,Artificial intelligence
Artificial_intelligence,2023,2,594623,Artificial intelligence
Artificial_intelligence,2023,3,789356,Artificial intelligence
Artificial_intelligence,2023,4,719573,Artificial intelligence
Artificial_intelligence,2023,5,939315,Artificial intelligence
Artificial_intelligence,2023,6,1046386,Artificial intelligence
Artificial_intelligence,2023,7,1110982,Artificial intelligence
Artificial_intelligence,2023,8,1049278,Artificial intelligence
Artificial_intelligence,2023,9,894225,Artificial intelligence
Artificial_intelligence,2023,10,959075,Artificial intelligence
Artificial_intelligence,2023,11,928178,Artificial intelligence
Artificial_intelligence,2023,12,976953,Artificial intelligence
Artificial_intelligence,2024,1,1328708,Artificial intelligence
Artificial_intelligence,2024,2,927018,Artificial intelligence
Artificial_intelligence,2024,3,951782,Artificial intelligence
Artificial_intelligence,2024,4,840071,Artificial intelligence
Artificial_intelligence,2024,5,707230,Artificial intelligence
Artificial_intelligence,2024,6,522652,Artificial intelligence
Artificial_intelligence,2024,7,504482,Artificial intelligence
Artificial_intelligence,2024,8,531580,Artificial intelligence
Artificial_intelligence,2024,9,552827,Artificial intelligence
Artificial_intelligence,2024,10,582085,Artificial intelligence
Artificial_intelligence,2024,11,643081,Artificial intelligence
Artificial_intelligence,2024,12,571737,Artificial intelligence
Artificial_intelligence,2025,1,667416,Artificial intelligence
Artificial_intelligence,2025,2,641695,Artificial intelligence
Artificial_intelligence,2025,3,722658,Artificial intelligence
Artificial_intelligence,2025,4,690359,Artificial intelligence
Artificial_intelligence,2025,5,705675,Artificial intelligence
Artificial_intelligence,2025,6,721352,Artificial intelligence
Artificial_intelligence,2025,7,503314,Artificial intelligence
Artificial_intelligence,2025,8,707464,Artificial intelligence
Artificial_intelligence,2025,9,661540,Artificial intelligence
Artificial_intelligence,2025,10,739991,Artificial intelligence
Artificial_intelligence,2025,11,636443,Artificial intelligence
Cryptocurrency,2015,7,35144,Cryptocurrency
Cryptocurrency,2015,8,28071,Cryptocurrency
Cryptocurrency,2015,9,28470,Cryptocurrency
Cryptocurrency,2015,10,32102,Cryptocurrency
Cryptocurrency,2015,11,32811,Cryptocurrency
Cryptocurrency,2015,12,33305,Cryptocurrency
Cryptocurrency,2016,1,34930,Cryptocurrency
Cryptocurrency,2016,2,34395,Cryptocurrency
Cryptocurrency,2016,3,38395,Cryptocurrency
Cryptocurrency,2016,4,35745,Cryptocurrency
Cryptocurrency,2016,5,42008,Cryptocurrency
Cryptocurrency,2016,6,42954,Cryptocurrency
Cryptocurrency,2016,7,42448,Cryptocurrency
Cryptocurrency,2016,8,65878,Cryptocurrency
Cryptocurrency,2016,9,45483,Cryptocurrency
Cryptocurrency,2016,10,48494,Cryptocurrency
Cryptocurrency,2016,11,59601,Cryptocurrency
Cryptocurrency,2016,12,59691,Cryptocurrency
Cryptocurrency,2017,1,73058,Cryptocurrency
Cryptocurrency,2017,2,57484,Cryptocurrency
Cryptocurrency,2017,3,83977,Cryptocurrency
Cryptocurrency,2017,4,74198,Cryptocurrency
Cryptocurrency,2017,5,188812,Cryptocurrency
Cryptocurrency,2017,6,227083,Cryptocurrency
Cryptocurrency,2017,7,202505,Cryptocurrency
Cryptocurrency,2017,8,234977,Cryptocurrency
Cryptocurrency,2017,9,268119,Cryptocurrency
Cryptocurrency,2017,10,309064,Cryptocurrency
Cryptocurrency,2017,11,466482,Cryptocurrency
Cryptocurrency,2017,12,982843,Cryptocurrency
Cryptocurrency,2018,1,777983,Cryptocurrency
Cryptocurrency,2018,2,377951,Cryptocurrency
Cryptocurrency,2018,3,337481,Cryptocurrency
Cryptocurrency,2018,4,294261,Cryptocurrency
Cryptocurrency,2018,5,203281,Cryptocurrency
Cryptocurrency,2018,6,174567,Cryptocurrency
Cryptocurrency,2018,7,165930,Cryptocurrency
Cryptocurrency,2018,8,192140,Cryptocurrency
Cryptocurrency,2018,9,175721,Cryptocurrency
Cryptocurrency,2018,10,156693,Cryptocurrency
Cryptocurrency,2018,11,145095,Cryptocurrency
Cryptocurrency,2018,12,124897,Cryptocurrency
Cryptocurrency,2019,1,131715,Cryptocurrency
Cryptocurrency,2019,2,130592,Cryptocurrency
Cryptocurrency,2019,3,125578,Cryptocurrency
Cryptocurrency,2019,4,129840,Cryptocurrency
Cryptocurrency,2019,5,151280,Cryptocurrency
Cryptocurrency,2019,6,156358,Cryptocurrency
Cryptocurrency,2019,7,158043,Cryptocurrency
Cryptocurrency,2019,8,146413,Cryptocurrency
Cryptocurrency,2019,9,147209,Cryptocurrency
Cryptocurrency,2019,10,157364,Cryptocurrency
Cryptocurrency,2019,11,150887,Cryptocurrency
Cryptocurrency,2019,12,156938,Cryptocurrency
Cryptocurrency,2020,1,214222,Cryptocurrency
Cryptocurrency,2020,2,120174,Cryptocurrency
Cryptocurrency,2020,3,164248,Cryptocurrency
Cryptocurrency,2020,4,159981,Cryptocurrency
Cryptocurrency,2020,5,186579,Cryptocurrency
Cryptocurrency,2020,6,138892,Cryptocurrency
Cryptocurrency,2020,7,262486,Cryptocurrency
Cryptocurrency,2020,8,295927,Cryptocurrency
Cryptocurrency,2020,9,228086,Cryptocurrency
Cryptocurrency,2020,10,169889,Cryptocurrency
Cryptocurrency,2020,11,199181,Cryptocurrency
Cryptocurrency,2020,12,250368,Cryptocurrency
Cryptocurrency,2021,1,406414,Cryptocurrency
Cryptocurrency,2021,2,534331,Cryptocurrency
Cryptocurrency,2021,3,382323,Cryptocurrency
Cryptocurrency,2021,4,534209,Cryptocurrency
Cryptocurrency,2021,5,947464,Cryptocurrency
Cryptocurrency,2021,6,474631,Cryptocurrency
Cryptocurrency,2021,7,335971,Cryptocurrency
Cryptocurrency,2021,8,348747,Cryptocurrency
Cryptocurrency,2021,9,359223,Cryptocurrency
Cryptocurrency,2021,10,440147,Cryptocurrency
Cryptocurrency,2021,11,595727,Cryptocurrency
Cryptocurrency,2021,12,427770,Cryptocurrency
Cryptocurrency,2022,1,457945,Cryptocurrency
Cryptocurrency,2022,2,399557,Cryptocurrency
Cryptocurrency,2022,3,337149,Cryptocurrency
Cryptocurrency,2022,4,365239,Cryptocurrency
Cryptocurrency,2022,5,285845,Cryptocurrency
Cryptocurrency,2022,6,231338,Cryptocurrency
Cryptocurrency,2022,7,201306,Cryptocurrency
Cryptocurrency,2022,8,184502,Cryptocurrency
Cryptocurrency,2022,9,212409,Cryptocurrency
Cryptocurrency,2022,10,199684,Cryptocurrency
Cryptocurrency,2022,11,299584,Cryptocurrency
Cryptocurrency,2022,12,183181,Cryptocurrency
Cryptocurrency,2023,1,172118,Cryptocurrency
Cryptocurrency,2023,2,169351,Cryptocurrency
Cryptocurrency,2023,3,154216,Cryptocurrency
Cryptocurrency,2023,4,122719,Cryptocurrency
Cryptocurrency,2023,5,140244,Cryptocurrency
Cryptocurrency,2023,6,141190,Cryptocurrency
Cryptocurrency,2023,7,151763,Cryptocurrency
Cryptocurrency,2023,8,171154,Cryptocurrency
Cryptocurrency,2023,9,149316,Cryptocurrency
Cryptocurrency,2023,10,194568,Cryptocurrency
Cryptocurrency,2023,11,266557,Cryptocurrency
Cryptocurrency,2023,12,258801,Cryptocurrency
Cryptocurrency,2024,1,247273,Cryptocurrency
Cryptocurrency,2024,2,211404,Cryptocurrency
Cryptocurrency,2024,3,286992,Cryptocurrency
Cryptocurrency,2024,4,276569,Cryptocurrency
Cryptocurrency,2024,5,164101,Cryptocurrency
Cryptocurrency,2024,6,118371,Cryptocurrency
Cryptocurrency,2024,7,132392,Cryptocurrency
Cryptocurrency,2024,8,148269,Cryptocurrency
Cryptocurrency,2024,9,156876,Cryptocurrency
Cryptocurrency,2024,10,150144,Cryptocurrency
Cryptocurrency,2024,11,222122,Cryptocurrency
Cryptocurrency,2024,12,262594,Cryptocurrency
Cryptocurrency,2025,1,277010,Cryptocurrency
Cryptocurrency,2025,2,214275,Cryptocurrency
Cryptocurrency,2025,3,254142,Cryptocurrency
Cryptocurrency,2025,4,199945,Cryptocurrency
Cryptocurrency,2025,5,190096,Cryptocurrency
Cryptocurrency,2025,6,170666,Cryptocurrency
Cryptocurrency,2025,7,153098,Cryptocurrency
Cryptocurrency,2025,8,144943,Cryptocurrency
Cryptocurrency,2025,9,131837,Cryptocurrency
Cryptocurrency,2025,10,120845,Cryptocurrency
Cryptocurrency,2025,11,119142,Cryptocurrency
Quantum_computing,2015,7,50127,Quantum computing
Quantum_computing,2015,8,51750,Quantum computing
Quantum_computing,2015,9,66682,Quantum computing
Quantum_computing,2015,10,76940,Quantum computing
Quantum_computing,2015,11,69357,Quantum computing
Quantum_computing,2015,12,138130,Quantum computing
Quantum_computing,2016,1,68002,Quantum computing
Quantum_computing,2016,2,63498,Quantum computing
Quantum_computing,2016,3,73112,Quantum computing
Quantum_computing,2016,4,163938,Quantum computing
Quantum_computing,2016,5,102893,Quantum computing
Quantum_computing,2016,6,62021,Quantum computing
Quantum_computing,2016,7,66729,Quantum computing
Quantum_computing,2016,8,75822,Quantum computing
Quantum_computing,2016,9,77746,Quantum computing
Quantum_computing,2016,10,78174,Quantum computing
Quantum_computing,2016,11,73338,Quantum computing
Quantum_computing,2016,12,68601,Quantum computing
Quantum_computing,2017,1,77033,Quantum computing
Quantum_computing,2017,2,96661,Quantum computing
Quantum_computing,2017,3,102262,Quantum computing
Quantum_computing,2017,4,78636,Quantum computing
Quantum_computing,2017,5,87502,Quantum computing
Quantum_computing,2017,6,71056,Quantum computing
Quantum_computing,2017,7,82995,Quantum computing
Quantum_computing,2017,8,69212,Quantum computing
Quantum_computing,2017,9,98446,Quantum computing
Quantum_computing,2017,10,110367,Quantum computing
Quantum_computing,2017,11,121787,Quantum computing
Quantum_computing,2017,12,122046,Quantum computing
Quantum_computing,2018,1,131403,Quantum computing
Quantum_computing,2018,2,104746,Quantum computing
Quantum_computing,2018,3,122076,Quantum computing
Quantum_computing,2018,4,101241,Quantum computing
Quantum_computing,2018,5,94518,Quantum computing
Quantum_computing,2018,6,85536,Quantum computing
Quantum_computing,2018,7,96066,Quantum computing
Quantum_computing,2018,8,94282,Quantum computing
Quantum_computing,2018,9,96664,Quantum computing
Quantum_computing,2018,10,109164,Quantum computing
Quantum_computing,2018,11,99446,Quantum computing
Quantum_computing,2018,12,96580,Quantum computing
Quantum_computing,2019,1,131258,Quantum computing
Quantum_computing,2019,2,98403,Quantum computing
Quantum_computing,2019,3,115419,Quantum computing
Quantum_computing,2019,4,100252,Quantum computing
Quantum_computing,2019,5,101976,Quantum computing
Quantum_computing,2019,6,90666,Quantum computing
Quantum_computing,2019,7,87822,Quantum computing
Quantum_computing,2019,8,88983,Quantum computing
Quantum_computing,2019,9,138560,Quantum computing
Quantum_computing,2019,10,231044,Quantum computing
Quantum_computing,2019,11,145372,Quantum computing
Quantum_computing,2019,12,118835,Quantum computing
Quantum_computing,2020,1,109689,Quantum computing
Quantum_computing,2020,2,99854,Quantum computing
Quantum_computing,2020,3,94290,Quantum computing
Quantum_computing,2020,4,103678,Quantum computing
Quantum_computing,2020,5,98585,Quantum computing
Quantum_computing,2020,6,86146,Quantum computing
Quantum_computing,2020,7,82530,Quantum computing
Quantum_computing,2020,8,86231,Quantum computing
Quantum_computing,2020,9,89610,Quantum computing
Quantum_computing,2020,10,86688,Quantum computing
Quantum_computing,2020,11,81929,Quantum computing
Quantum_computing,2020,12,114077,Quantum computing
Quantum_computing,2021,1,100982,Quantum computing
Quantum_computing,2021,2,98793,Quantum computing
Quantum_computing,2021,3,114006,Quantum computing
Quantum_computing,2021,4,97278,Quantum computing
Quantum_computing,2021,5,95322,Quantum computing
Quantum_computing,2021,6,93721,Quantum computing
Quantum_computing,2021,7,88287,Quantum computing
Quantum_computing,2021,8,83225,Quantum computing
Quantum_computing,2021,9,88118,Quantum computing
Quantum_computing,2021,10,95281,Quantum computing
Quantum_computing,2021,11,112971,Quantum computing
Quantum_computing,2021,12,98057,Quantum computing
Quantum_computing,2022,1,97012,Quantum computing
Quantum_computing,2022,2,85873,Quantum computing
Quantum_computing,2022,3,82827,Quantum computing
Quantum_computing,2022,4,81855,Quantum computing
Quantum_computing,2022,5,95471,Quantum computing
Quantum_computing,2022,6,91181,Quantum computing
Quantum_computing,2022,7,148101,Quantum computing
Quantum_computing,2022,8,86696,Quantum computing
Quantum_computing,2022,9,92023,Quantum computing
Quantum_computing,2022,10,108709,Quantum computing
Quantum_computing,2022,11,109320,Quantum computing
Quantum_computing,2022,12,99620,Quantum computing
Quantum_computing,2023,1,105498,Quantum computing
Quantum_computing,2023,2,108911,Quantum computing
Quantum_computing,2023,3,126000,Quantum computing
Quantum_computing,2023,4,99640,Quantum computing
Quantum_computing,2023,5,120311,Quantum computing
Quantum_computing,2023,6,127053,Quantum computing
Quantum_computing,2023,7,137985,Quantum computing
Quantum_computing,2023,8,131841,Quantum computing
Quantum_computing,2023,9,106650,Quantum computing
Quantum_computing,2023,10,126769,Quantum computing
Quantum_computing,2023,11,128035,Quantum computing
Quantum_computing,2023,12,177897,Quantum computing
Quantum_computing,2024,1,137000,Quantum computing
Quantum_computing,2024,2,106838,Quantum computing
Quantum_computing,2024,3,119045,Quantum computing
Quantum_computing,2024,4,113432,Quantum computing
Quantum_computing,2024,5,100642,Quantum computing
Quantum_computing,2024,6,87914,Quantum computing
Quantum_computing,2024,7,88069,Quantum computing
Quantum_computing,2024,8,84606,Quantum computing
Quantum_computing,2024,9,91876,Quantum computing
Quantum_computing,2024,10,107498,Quantum computing
Quantum_computing,2024,11,102625,Quantum computing
Quantum_computing,2024,12,218916,Quantum computing
Quantum_computing,2025,1,167540,Quantum computing
Quantum_computing,2025,2,158876,Quantum computing
Quantum_computing,2025,3,131870,Quantum computing
Quantum_computing,2025,4,107552,Quantum computing
Quantum_computing,2025,5,107087,Quantum computing
Quantum_computing,2025,6,87651,Quantum computing
Quantum_computing,2025,7,91105,Quantum computing
Quantum_computing,2025,8,106924,Quantum computing
Quantum_computing,2025,9,146538,Quantum computing
Quantum_computing,2025,10,230643,Quantum computing
Quantum_computing,2025,11,154104,Quantum computing
Blockchain,2015,7,2376,Blockchain
Blockchain,2015,8,2170,Blockchain
Blockchain,2015,9,3278,Blockchain
Blockchain,2015,10,3300,Blockchain
Blockchain,2015,11,4032,Blockchain
Blockchain,2015,12,3920,Blockchain
Blockchain,2016,1,4574,Blockchain
Blockchain,2016,2,4093,Blockchain
Blockchain,2016,3,3861,Blockchain
Blockchain,2016,4,4123,Blockchain
Blockchain,2016,5,8068,Blockchain
Blockchain,2016,6,6260,Blockchain
Blockchain,2016,7,3359,Blockchain
Blockchain,2016,8,3910,Blockchain
Blockchain,2016,9,4458,Blockchain
Blockchain,2016,10,4202,Blockchain
Blockchain,2016,11,4091,Blockchain
Blockchain,2016,12,3778,Blockchain
Blockchain,2017,1,5697,Blockchain
Blockchain,2017,2,17847,Blockchain
Blockchain,2017,3,187488,Blockchain
Blockchain,2017,4,241961,Blockchain
Blockchain,2017,5,344753,Blockchain
Blockchain,2017,6,412012,Blockchain
Blockchain,2017,7,351113,Blockchain
Blockchain,2017,8,347039,Blockchain
Blockchain,2017,9,401959,Blockchain
Blockchain,2017,10,483855,Blockchain
Blockchain,2017,11,569639,Blockchain
Blockchain,2017,12,860531,Blockchain
Blockchain,2018,1,872809,Blockchain
Blockchain,2018,2,617489,Blockchain
Blockchain,2018,3,569683,Blockchain
Blockchain,2018,4,492506,Blockchain
Blockchain,2018,5,531534,Blockchain
Blockchain,2018,6,441720,Blockchain
Blockchain,2018,7,414477,Blockchain
Blockchain,2018,8,381837,Blockchain
Blockchain,2018,9,352682,Blockchain
Blockchain,2018,10,352710,Blockchain
Blockchain,2018,11,313243,Blockchain
Blockchain,2018,12,256369,Blockchain
Blockchain,2019,1,257826,Blockchain
Blockchain,2019,2,223739,Blockchain
Blockchain,2019,3,243640,Blockchain
Blockchain,2019,4,210848,Blockchain
Blockchain,2019,5,220018,Blockchain
Blockchain,2019,6,213596,Blockchain
Blockchain,2019,7,231385,Blockchain
Blockchain,2019,8,215473,Blockchain
Blockchain,2019,9,207011,Blockchain
Blockchain,2019,10,227915,Blockchain
Blockchain,2019,11,226548,Blockchain
Blockchain,2019,12,199505,Blockchain
Blockchain,2020,1,270467,Blockchain
Blockchain,2020,2,164237,Blockchain
Blockchain,2020,3,139847,Blockchain
Blockchain,2020,4,154196,Blockchain
Blockchain,2020,5,152064,Blockchain
Blockchain,2020,6,129413,Blockchain
Blockchain,2020,7,123482,Blockchain
Blockchain,2020,8,127197,Blockchain
Blockchain,2020,9,114970,Blockchain
Blockchain,2020,10,126867,Blockchain
Blockchain,2020,11,156265,Blockchain
Blockchain,2020,12,159563,Blockchain
Blockchain,2021,1,212910,Blockchain
Blockchain,2021,2,242468,Blockchain
Blockchain,2021,3,302396,Blockchain
Blockchain,2021,4,262712,Blockchain
Blockchain,2021,5,317398,Blockchain
Blockchain,2021,6,193294,Blockchain
Blockchain,2021,7,164478,Blockchain
Blockchain,2021,8,157793,Blockchain
Blockchain,2021,9,173734,Blockchain
Blockchain,2021,10,191322,Blockchain
Blockchain,2021,11,243179,Blockchain
Blockchain,2021,12,257417,Blockchain
Blockchain,2022,1,291356,Blockchain
Blockchain,2022,2,237302,Blockchain
Blockchain,2022,3,186560,Blockchain
Blockchain,2022,4,165700,Blockchain
Blockchain,2022,5,164262,Blockchain
Blockchain,2022,6,131276,Blockchain
Blockchain,2022,7,178678,Blockchain
Blockchain,2022,8,129092,Blockchain
Blockchain,2022,9,148564,Blockchain
Blockchain,2022,10,152856,Blockchain
Blockchain,2022,11,173537,Blockchain
Blockchain,2022,12,138819,Blockchain
Blockchain,2023,1,121714,Blockchain
Blockchain,2023,2,102727,Blockchain
Blockchain,2023,3,112018,Blockchain
Blockchain,2023,4,91779,Blockchain
Blockchain,2023,5,88725,Blockchain
Blockchain,2023,6,83512,Blockchain
Blockchain,2023,7,90454,Blockchain
Blockchain,2023,8,92222,Blockchain
Blockchain,2023,9,100325,Blockchain
Blockchain,2023,10,100451,Blockchain
Blockchain,2023,11,108292,Blockchain
Blockchain,2023,12,86066,Blockchain
Blockchain,2024,1,125867,Blockchain
Blockchain,2024,2,100854,Blockchain
Blockchain,2024,3,115979,Blockchain
Blockchain,2024,4,143384,Blockchain
Blockchain,2024,5,91948,Blockchain
Blockchain,2024,6,102983,Blockchain
Blockchain,2024,7,114118,Blockchain
Blockchain,2024,8,85830,Blockchain
Blockchain,2024,9,99329,Blockchain
Blockchain,2024,10,104934,Blockchain
Blockchain,2024,11,115089,Blockchain
Blockchain,2024,12,120179,Blockchain
Blockchain,2025,1,122357,Blockchain
Blockchain,2025,2,124565,Blockchain
Blockchain,2025,3,144568,Blockchain
Blockchain,2025,4,118324,Blockchain
Blockchain,2025,5,99242,Blockchain
Blockchain,2025,6,99153,Blockchain
Blockchain,2025,7,98393,Blockchain
Blockchain,2025,8,109485,Blockchain
Blockchain,2025,9,90557,Blockchain
Blockchain,2025,10,90139,Blockchain
Blockchain,2025,11,82073,Blockchain
Edge_computing,2015,7,3339,Edge computing
Edge_computing,2015,8,3345,Edge computing
Edge_computing,2015,9,3618,Edge computing
Edge_computing,2015,10,3923,Edge computing
Edge_computing,2015,11,4033,Edge computing
Edge_computing,2015,12,3799,Edge computing
Edge_computing,2016,1,4453,Edge computing
Edge_computing,2016,2,4620,Edge computing
Edge_computing,2016,3,5551,Edge computing
Edge_computing,2016,4,4845,Edge computing
Edge_computing,2016,5,5410,Edge computing
Edge_computing,2016,6,5498,Edge computing
Edge_computing,2016,7,5069,Edge computing
Edge_computing,2016,8,5261,Edge computing
Edge_computing,2016,9,6282,Edge computing
Edge_computing,2016,10,6355,Edge computing
Edge_computing,2016,11,6750,Edge computing
Edge_computing,2016,12,7991,Edge computing
Edge_computing,2017,1,9035,Edge computing
Edge_computing,2017,2,8712,Edge computing
Edge_computing,2017,3,11306,Edge computing
Edge_computing,2017,4,9220,Edge computing
Edge_computing,2017,5,12326,Edge computing
Edge_computing,2017,6,11274,Edge computing
Edge_computing,2017,7,10211,Edge computing
Edge_computing,2017,8,13930,Edge computing
Edge_computing,2017,9,12873,Edge computing
Edge_computing,2017,10,16816,Edge computing
Edge_computing,2017,11,16908,Edge computing
Edge_computing,2017,12,13920,Edge computing
Edge_computing,2018,1,18924,Edge computing
Edge_computing,2018,2,19682,Edge computing
Edge_computing,2018,3,21513,Edge computing
Edge_computing,2018,4,20027,Edge computing
Edge_computing,2018,5,22126,Edge computing
Edge_computing,2018,6,19936,Edge computing
Edge_computing,2018,7,18876,Edge computing
Edge_computing,2018,8,21538,Edge computing
Edge_computing,2018,9,24235,Edge computing
Edge_computing,2018,10,24646,Edge computing
Edge_computing,2018,11,22764,Edge computing
Edge_computing,2018,12,20915,Edge computing
Edge_computing,2019,1,26059,Edge computing
Edge_computing,2019,2,25653,Edge computing
Edge_computing,2019,3,26210,Edge computing
Edge_computing,2019,4,26482,Edge computing
Edge_computing,2019,5,27800,Edge computing
Edge_computing,2019,6,24937,Edge computing
Edge_computing,2019,7,26373,Edge computing
Edge_computing,2019,8,25337,Edge computing
Edge_computing,2019,9,28763,Edge computing
Edge_computing,2019,10,32177,Edge computing
Edge_computing,2019,11,30982,Edge computing
Edge_computing,2019,12,28781,Edge computing
Edge_computing,2020,1,33585,Edge computing
Edge_computing,2020,2,34523,Edge computing
Edge_computing,2020,3,29993,Edge computing
Edge_computing,2020,4,34035,Edge computing
Edge_computing,2020,5,33582,Edge computing
Edge_computing,2020,6,32310,Edge computing
Edge_computing,2020,7,32483,Edge computing
Edge_computing,2020,8,32314,Edge computing
Edge_computing,2020,9,33920,Edge computing
Edge_computing,2020,10,35946,Edge computing
Edge_computing,2020,11,33328,Edge computing
Edge_computing,2020,12,32025,Edge computing
Edge_computing,2021,1,35174,Edge computing
Edge_computing,2021,2,33182,Edge computing
Edge_computing,2021,3,37979,Edge computing
Edge_computing,2021,4,36099,Edge computing
Edge_computing,2021,5,39102,Edge computing
Edge_computing,2021,6,36696,Edge computing
Edge_computing,2021,7,36879,Edge computing
Edge_computing,2021,8,45040,Edge computing
Edge_computing,2021,9,42766,Edge computing
Edge_computing,2021,10,41419,Edge computing
Edge_computing,2021,11,39208,Edge computing
Edge_computing,2021,12,35575,Edge computing
Edge_computing,2022,1,36483,Edge computing
Edge_computing,2022,2,35487,Edge computing
Edge_computing,2022,3,36938,Edge computing
Edge_computing,2022,4,33381,Edge computing
Edge_computing,2022,5,36330,Edge computing
Edge_computing,2022,6,33618,Edge computing
Edge_computing,2022,7,29843,Edge computing
Edge_computing,2022,8,32786,Edge computing
Edge_computing,2022,9,32369,Edge computing
Edge_computing,2022,10,33369,Edge computing
Edge_computing,2022,11,32702,Edge computing
Edge_computing,2022,12,26664,Edge computing
Edge_computing,2023,1,34732,Edge computing
Edge_computing,2023,2,28310,Edge computing
Edge_computing,2023,3,30186,Edge computing
